CJ375|Criminology|Guertin-Martin, Favian|Why people engage in deviant behavior, including criminal activity, has long been the subject of sociological inquiry. In this course, a variety of theoretical perspectives are considered, including functionalist, radical, social psychological and structural theories. Among the questions to be asked are: Why do people commit deviant and criminal acts? What acts are defined as deviant and criminal, and why? Who has the power to define acts as deviant and criminal? Students will be expected to understand the various theories and their implications, as well as to develop an understanding of their own theory of deviance and criminality.
CM101|Introduction to Media Studies|Holderman, Lisa|This course is a comprehensive and critical introduction to processes, industries and institutions of mass media in this country and on a global scale. Beginning with brief historical backgrounds of media such as print, radio, film, television, Internet and the new media, the course spans through major issues in the study of media in contemporary culture. It is a focused course for career preparation as well as for thinking about critical issues in the media. Strong interaction and encounters with major media forms are required. Emphasis is on writing, conceptualization and analysis and basic techniques of research and presentation. Collaborative group projects also are included. Emphasis is on global dimensions of media through our global focus program.
CM101|Introduction to Media Studies|Frank, Meredith|This course is a comprehensive and critical introduction to processes, industries and institutions of mass media in this country and on a global scale. Beginning with brief historical backgrounds of media such as print, radio, film, television, Internet and the new media, the course spans through major issues in the study of media in contemporary culture. It is a focused course for career preparation as well as for thinking about critical issues in the media. Strong interaction and encounters with major media forms are required. Emphasis is on writing, conceptualization and analysis and basic techniques of research and presentation. Collaborative group projects also are included. Emphasis is on global dimensions of media through our global focus program.
CM110|Speech Communications|Mullin, Christine|In this foundational course in fundamentals of speech, persuasion, articulation and techniques of delivering an effective speech presentation, students develop skills and understanding of what makes a good public speaker, along with practical exercises for various speech situations. The development of speaker's strategies, research, writing skills and oral skills in speaking and presentation are emphasized. Practical exercises focus on four modes of speech communication (interpersonal, interview, informative, and persuasive speaking). Students acquire greater ease and confidence in public speaking and presentation. The course includes theory as well as practice of successful speech communication.
CM346|Remakes & Sequels in Cinema|Deshpande, Shekhar|Remakes and Sequels have become immensely popular in world cinema.  Often produced with an eye on box office returns, remakes and sequels reveal much about our cultural obsessions, desire to reconstruct memory, and longing to learn from complex interactions between cultures and traditions.  Remakes allow filmmakers to pay tribute to their favorite works while they also allow us to take a “revisionist” look at cultural discourse.  This course approaches a variety of remakes and sequels from around the world to examine our cultural discourses through cinema.  We will examine the remakes of Cape Fear (1962 and 1991, the U.K. and the U.S.), The Housemaid (1960, 2010, Korea), A Better Tomorrow (1986, 1987, Hong Kong), Ringu (1998, Japan) and the Ring (2002, the U.S.), Psycho (1960, 1998 and numerous) and many others.  Written essays and a visual project.
CM352|Terrorism on Film & TV|Deshpande, Shekhar|"The events of 9/11 changed everything.  In film and television, the events  influenced the aesthetics, the politics and narrative structure. This course is a thorough study of that phenomenon. Films include: 11'09""01-September 11 (2002), Paradise Now (2005), , World Trade Center (2006), Flight 93 (2006), Kurtlar Vadisi Iraq (2004), also included: TV shows 24 (six seasons) and Sleeper Cell (two seasons). Also included are the so-called classics of terrorism and film: The Battle of Algiers (1966), The Lost Honor of Katharina Blum (1975) and Born in Flames (1983). Close viewing, critical reviews of films, readings on terrorism and film/media and class participation are required."
CM356|World of Work in Popular Film|Holderman, Lisa|In this course, students develop critical insights into the complexities of the film industry by examining popular Hollywood films from the 1930s through the new millennium that are set in the business world. Students analyze films such as Citizen Kane, 9 to 5, Wall Street, and Disclosure by considering the social, cultural, political, and economic conditions in which they were produced. The course examines the social significance of these films, including such factors as the presentation of myths such as the American Dream, narratives of capitalism and social mobility, and images of race, class, and gender.
CM446|Remakes & Sequels in Cinema|Deshpande, Shekhar|Remakes and Sequels have become immensely popular in world cinema.  Often produced with an eye on box office returns, remakes and sequels reveal much about our cultural obsessions, desire to reconstruct memory, and longing to learn from complex interactions between cultures and traditions.  Remakes allow filmmakers to pay tribute to their favorite works while they also allow us to take a “revisionist” look at cultural discourse.  This course approaches a variety of remakes and sequels from around the world to examine our cultural discourses through cinema.  We will examine the remakes of Cape Fear (1962 and 1991, the U.K. and the U.S.), The Housemaid (1960, 2010, Korea), A Better Tomorrow (1986, 1987, Hong Kong), Ringu (1998, Japan) and the Ring (2002, the U.S.), Psycho (1960, 1998 and numerous) and many others.  Written essays and a visual project.
CM452|Terrorism on Film & TV|Deshpande, Shekhar|"The events of 9/11 changed everything.  In film and television, the events  influenced the aesthetics, the politics and narrative structure. This course is a thorough study of that phenomenon. Films include: 11'09""01-September 11 (2002), Paradise Now (2005), , World Trade Center (2006), Flight 93 (2006), Kurtlar Vadisi Iraq (2004), also included: TV shows 24 (six seasons) and Sleeper Cell (two seasons). Also included are the so-called classics of terrorism and film: The Battle of Algiers (1966), The Lost Honor of Katharina Blum (1975) and Born in Flames (1983). Close viewing, critical reviews of films, readings on terrorism and film/media and class participation are required."
CM456|Work World in Film|Holderman, Lisa|In this course, students develop critical insights into the complexities of the film industry by examining popular Hollywood films from the 1930s through the new millennium that are set in the business world. Students analyze films such as Citizen Kane, 9 to 5, Wall Street, and Disclosure by considering the social, cultural, political, and economic conditions in which they were produced. The course examines the social significance of these films, including such factors as the presentation of myths such as the American Dream, narratives of capitalism and social mobility, and images of race, class, and gender.
EC210|Principles of Macroeconomics|Dahan, Nayla|This course surveys the concepts of supply and demand, national income accounting, fiscal and monetary policy, theory of income determination, and the problems of inflation, unemployment and economic development. Topics covered include the meaning and measurement of gross domestic product, the causes of business cycles, the role of government expenditures and taxation in maintaining economic stability, the role of money in domestic and international economies, international trade, the determination of exchange rates and the balance of payments. The course concludes by evaluating the performance of governments in financing their public debt and the resultant effect on financial markets and the trade deficit.
EC211|Principles of Microeconomics|Scott, Colleen|An examination of the theory of price. Survey of the concepts of supply and demand, utility, elasticity, cost and production. Compares price determination in different markets, perfect competition, monopolistic competition, monopoly and oligopoly. Focuses on the economics of the individual economic agent. Prerequisite: Facility in working with quantitative material is required for this course. Such facility may be demonstrated by appropriate mathematics courses which were completed recently, by a sufficiently high recent SAT or ACT score, or by a placement examination through the University or an outside testing association. Students who need review in mathematics will need to take MA100 prior to EC211. MA145 is recommended.
ED315|Differentiated Inst in Inclusive Clsrm|Christiana, Kathryn|This course is designed to help future teachers develop a basic understanding of principles and practices related to effectively addressing academic diversity in contemporary classrooms. The guiding framework for the semester is designed to reinforce the idea that defensible differentiation requires thoughtful and consistent attention to multiple aspects of curriculum, instruction, assessment, and learning environment.
ED375|Managing an Inclusive Classroom|Johnston, Damian|This course is designed to teach future teachers to manage their classrooms and challenging behaviors including noncompliance, disruption, inattention and aggression. Proactive strategies from the basic (routines, rules, attention, consistency) to the instructional (chunking work, grouping, marking corrects) are taught. Students learn to use a problem-solving approach with an emphasis on using observations, interactions, progress monitoring, and teaching social skills. The basics of pre-referral intervention, instructional support teams, Individualized Education Plans (IEPs) and the use of paraprofessionals in the classroom for behavior management are covered.
ED375L|Field Experience|Johnston, Damian|No description provided
ED375L|Field Experience|Johnston, Damian|No description provided
ED389|Independent Study: ACT, Teleh & Cultr RP|Dean, Kimberly|Individualized study tailored to suit the needs and interests of a limited number of juniors or seniors. Encourages limited experimental research activities. Each student works under the guidance of a faculty member assigned by the Chair of Education.
ED399|Professional Portfolio of Practice|Trainor, Kathy|In this course, you will work towards compiling a professional portfolio of praxis by connecting theory with practice. You will meaningfully reflect on materials/artifacts that you have gathered from your everyday teaching experiences to demonstrate your classroom practice, make theory/research-based connections. In addition, you will consider ways in which you may transform your current practice by engaging in authentic explorations and critical reflections.
ED490A|Critical Conversations,Equity&Tchr Inqry|Mesner, Kerr|This inquiry based course focuses on the vital roles of reflexivity, diversity, issues of equity and inequity and critical reflection as key to teacher identity and development. Students will explore and actively investigate ways in which racism, sexism, economic injustice, heterosexism, ageism, and other forms of discrimination influence identities and educational access and opportunity for young children and family in birth to five settings and in K-4 settings. Drawing on critical theories, multicultural education, and culturally responsive teaching as theoretical frameworks, students reflect on their own identities and work as teachers in working with the young (birth to 5 years) and with early childhood/elementary-aged children in K-4 schools and write a reflective auto-ethnography and explore implications for teaching and learning.
ED490AL|Fieldwork|Mesner, Kerr|No description provided
ED490AL|Fieldwork|Mesner, Kerr|No description provided
ED503|General Foundations of Educ in the U.S.|Whitfield, Latricia|A sociocultural introduction to the educational studies designed for K-12 teachers. Ethnographic research, historical, and philosophical approaches are used to explore how youth cultures, institutional organization, disciplinary contexts, and categories of difference frame youth experiences and the enactment of curriculum. Students arrange their own field locations where they observe formal and informal learning environments, and analyze disciplinary learning.
ED503|General Foundations of Educ in the U.S.|Whitfield, Latricia|A sociocultural introduction to the educational studies designed for K-12 teachers. Ethnographic research, historical, and philosophical approaches are used to explore how youth cultures, institutional organization, disciplinary contexts, and categories of difference frame youth experiences and the enactment of curriculum. Students arrange their own field locations where they observe formal and informal learning environments, and analyze disciplinary learning.
ED503|General Foundations of Educ in the U.S.|Whitfield, Latricia|A sociocultural introduction to the educational studies designed for K-12 teachers. Ethnographic research, historical, and philosophical approaches are used to explore how youth cultures, institutional organization, disciplinary contexts, and categories of difference frame youth experiences and the enactment of curriculum. Students arrange their own field locations where they observe formal and informal learning environments, and analyze disciplinary learning.
ED505|Cultural Foundations of Education|Skilton, Ellen|"In this course, students will examine the ways in which educational institutions and the teachers within them structure learning experiences for various students depending in part on their interpretations of these students' ""differences."" Educators must be aware of issues that may arise due to at least two factors: (1) differences between teachers' and students' backgrounds and how institutions and individual teachers create learning environments to engage with these differences; and (2) how aspects of identity are framed and understood by teachers, parents, students and school administrators. In order to deepen our awareness of these issues, throughout this semester students will explore the formation, meanings and implications of various ideologies and beliefs specifically as they relate to teaching and learning. We will challenge common beliefs about our educational system as well as the society in which it has been shaped."
ED510|Interpreting Educational Research|Macalalag, Augusto|(3 credits)This overview of educational research develops skill in comprehending and critically evaluating research reports. It focuses on interpretation and application of recent research findings in education and the social sciences.
ED512|Differen Instruct in Inclusion Classroom|Hopkins, Heather|Pedagogy that goes above and beyond “teaching down the middle”;  tiered instruction for motivating, educating and assessing a variety of learners in today’s inclusive classroom; IEPs are discussed and analyzed to help better tailor the classroom community; a variety of perspectives and tools for the differentiated environment are analyzed and utilized in this hands-on course.
ED563|Reading Specialist Professional Seminar|Hickman, Margaret|In this course, students will explore their own reading and writing processes, explore the ways that literacy is changing in relation to technology, understand the current role(s) of reading specialists and literacy coaches in schools,  learn about professional organizations and professional journals in the field (both locally and nationally), explore reading/language arts standards, and understand the goals of the Arcadia program. Emphasis will be on helping students to see themselves as potential leaders in the field who know how to ask the right questions, analyze assessment data and respond to the particular needs of teachers and students in the schools where they work. Arcadia’s emphasis on working with diverse learners will also be emphasized.
ED580|Intro to Inclusive Education|Jeter-Iles, Priscilla|(3 credits)An introductory course in special education with an emphasis on inclusion and diversity, this course provides an overview of the complex issues surrounding inclusive and heterogeneous schooling. Through a variety of learning strategies and experiences, students become familiar with current special education theory, practice, advocacy and legislation, and gain expertise on best practices to ensure access equity and quality education for every student. It includes field experience and case study.
ED580|Intro to Inclusive Education|Trainor, Kathy|(3 credits)An introductory course in special education with an emphasis on inclusion and diversity, this course provides an overview of the complex issues surrounding inclusive and heterogeneous schooling. Through a variety of learning strategies and experiences, students become familiar with current special education theory, practice, advocacy and legislation, and gain expertise on best practices to ensure access equity and quality education for every student. It includes field experience and case study.
ED584|Supp Students w/Low Inciden Disabilities|Trainor, Kathy|Strategies for supporting students with low incidence disabilities including effective and authentic assessment and instruction, goal and objective setting, IEP wiritng, lesson planning, and accomodations.  Designed to focus on persons with severe and moderate cognitive, sensory, physical and health disabilities, traumatic brain injury, autism and pervasive developmental disorders, and disabiliteis covered under Section 504. Also addresses Individual Transition planning and post-seocondary options. Includes field experience and intervention-based case study. Prerequisities: ED 466d, 580, 581, 585, 482; required foundation and content area courses.
ED585|Positive Behavioral Approaches|Mannella, Mark|Designed to provide students with expertise in positive behavioral approaches including school wide systems of support, effective classroom management, and individual behavioral support.  This course uses both instructional and functional approaches to behavior to encourage schools to be systems of support for students and professionals. The teaching of prosocial skills is also addressed.  Includes field experience and intervention-based study.
ED595|Literacy Seminar/Language&Literacy Proj|Lynady, Jennifer|Culminating course in reading program that offers practical experience in a clinical setting under the supervision of a university instructor. Requires conducting an extensive educational assessment of a student with a reading problem and, on the basis of the results, planning and carrying out a program of instruction using a variety of appropriate instructional strategies. All clinical experiences reflect mastery of graduate-level competencies incorporated in the roles of the reading specialist. Certification credit only, credits not applicable to the degree. Prerequisite: Permission of the Reading program coordinator must be obtained before registration. Practicum Deadlines: Fall Practicum: May 1 Spring Practicum: October 15 Summer Practicum: March 15
ED599|Culminating Masters' Project|Bornstein, Jodi|(3 credits)An action research project that enables the student to synthesize and apply master’s degree coursework in a way that supports the student’s personal and professional goals. The project must be approved by the adviser in order to meet program expectations, and includes review of relevant literature, interaction with critical friends as consultants, taking action to inform an audience outside of Arcadia and the student’s current work environment, and a plan for continued professional growth beyond the degree.
ED599|Culminating Masters' Project|Appelbaum, Peter|(3 credits)An action research project that enables the student to synthesize and apply master’s degree coursework in a way that supports the student’s personal and professional goals. The project must be approved by the adviser in order to meet program expectations, and includes review of relevant literature, interaction with critical friends as consultants, taking action to inform an audience outside of Arcadia and the student’s current work environment, and a plan for continued professional growth beyond the degree.
ED618|Instructional Strategies in Early Child|Bhukhanwala, Foram|Study of activity and environmental planning for young children, incorporating play theories,socialization theories and developmental theories. Considers the selection and purchase of
ED621|Communication Strat for Effect EC Progrm|Jeter-Iles, Priscilla|Exploration of a variety of communication and interpersonal techniques. Focuses on consulting, collaboration, intervention and problem-solving between professionals, parents and agencies. Includes human ecosystem theory, family-oriented approaches and family process and communication theories.  Communication between children and adults is also addressed.
ED621|Communication Strat for Effect EC Progrm|Bhukhanwala, Foram|Exploration of a variety of communication and interpersonal techniques. Focuses on consulting, collaboration, intervention and problem-solving between professionals, parents and agencies. Includes human ecosystem theory, family-oriented approaches and family process and communication theories.  Communication between children and adults is also addressed.
ED621|Communication Strat for Effect EC Progrm|Jeter-Iles, Priscilla|Exploration of a variety of communication and interpersonal techniques. Focuses on consulting, collaboration, intervention and problem-solving between professionals, parents and agencies. Includes human ecosystem theory, family-oriented approaches and family process and communication theories.  Communication between children and adults is also addressed.
ED622|ESL:Multiling/Multicultural Literacies|Knowlton, Courtney|This course focuses on the academic language needed for multilingual students to be successful in U.S. schools.  Students spend time investigating reading and writing standards and curricula for students in a particular context and the ways that materials might be adapted for English Language Learners (ELLs) and ELLs with disabilities.  A variety of models for providing services to ELLs are addressed with particular attention placed on the kinds of collaboration needed to address the literacy needs of all students across the content areas and the benefits of knowing more than one language.
ED623|ESL: Multiling/Multicult Assessment|Hickman, Margaret|(3 credits)This course focuses on multiple forms of assessment utilized with multilingual students and the role of the context and the purpose of communication in linguistic performance. It focuses both on large-scale assessments as well as classroom-based assessments. It addresses assessments that focus on evaluating language as well as those that look at academic achievement and content knowledge. In particular, the course addresses the often-posed question of distinguishing between language issues and learning issues in assessment.
ED624|ESL: Understanding Language Learning|Kolb, Andrea|This course addresses the processes of language learning from a variety of perspectives and engages students in an understanding of the structure and sound systems of English in relation to other languages and in relation to a variety of teaching strategies. By focusing both on a comparison of language structures and sound systems as well as theories of second language acquisition and development, this course allows students to learn about differences between learning a first and a second language and the influences of these processes on instructional principles and strategies. This course includes an intensive language learning component for students in the course that will allow them to reflect on their own learning processes in relation to language learning theories and to compare English to another language.
ED625|ESL: Language, Diversity and Schooling|Hickman, Margaret|This course focuses on the ways that U.S. schools have addressed linguistic diversity, highlighting current policies and program models as well as practices at various points in our history. It also looks at the ways that linguistic diversity is portrayed in the media, the 'funds of knowledge' that linguistically diverse families bring with them to school as well as cross-cultural perspectives on education, home/school relationships and disabilities. Notions of linguistic power and discrimination are addressed, particularly in relation to local, national, and international language policy and use. Finally, in this course students analyze the potential of multicultural education curricula for addressing these types of issues in U.S. schools. This course includes a service-learning component where students do community service in an agency that addresses the needs of a local immigrant group or groups.
ED629|Theory and Practice of TESOL|Kolb, Andrea|This course is the final course of the 5-course sequence for the ESL Program Specialist Certificate in the State of Pennsylvania.  All students who receive the ESL Program Specialist Certificate must first obtain Instructional I Certification.  This course should be taken in the last semester of  a student’s ESL certificate program.  The course offers a chance for students to synthesize their learning about ELLs, to fine tune a philosophy of education for English Language Learners, and to plan and implement lessons that are differentiated, integrated across language skills and content areas, and that include meaningful assessment.   Meaningful collaboration with other educational professionals, advocacy and a deep understanding of current local, state and federal mandates regarding the education of English Language Learners are also a critical component of this culminating course.  As in all ESL Program Specialist courses, there is a minimum of 12 hours of fieldwork. In this course, there is a formal observation of students’ teaching of English Language Learners. Co-requisites: ED 622, ED 623, ED 624, and/or ED 625
ED633|School Law|Trevaskis, David|"From school speech  to school district liability, this course explores the intricacies of school law.  Education cases from the Supreme Court dealing with subjects as diverse as violence against women and mandatory student fees are viewed through the prism of the history of school law and analyzed with a focus on the future directions of school law.  Statutory analysis and ways to avoid litigation are the twin pillars of the class.  To paraphrase the famous language of the Tinker decision, ""Students, teachers and administrators do not abandon their rights upon entering the schoolhouse gate; however, unless they are careful, school law might make them feel that way!""  Special education, the source of much potential litigation in schools today, is also examined."
ED637|Instructional Leadership|Budman, Ellen|This course focuses on current principles and practices which are used to establish a creative climate for instruction.  There is a special emphasis on developing relations between faculty and administrators, so that they may work in an atmosphere of trust.
ED639C|Summer Internship:K|Williams, Nancy|(1 credit each semester)Culmination activity for those persons seeking administrative certification for the position of public school in Pennsylvania. Principal PreK-12 certification includes both Elementary and Secondary. Certification credit only; not applicable to the degree. NOTE: The following three internship semesters must be taken consecutively; however, they may be taken in any order. The leadership portfolio must be submitted after completing the third consecutive semester. (Certification credit only; not applicable to the master’s degree.)
ED645|Human Resources and Negotiations|Kehr, Emily|This course examines the impact that labor relations and negotiations have on the leadership responsibilities of the principal and superintendent   Special emphasis is placed on the selection of staff, examination of employee rights, negotiation strategies, salary cost analysis, mediation, the grievance and arbitration process and the benefits of building positive relationships among all members of the school community.
ED649C|Summer Internship:Superintendent|Budman, Ellen|A one-semester apprenticeship under the supervision of a practicing superintendent in Pennsylvania.  Certification credit only; not applicable to a degree.
